FIGURE,SETTING,INDICATOR,GROUP,SUBGROUP,TIME,START_TIME,END_TIME,VALUE,MEASURE
0,ED,,,,10,05/01/2023,05/31/2023,96513,Count
0,ED,,,,11,06/01/2023,06/30/2023,91425,Count
0,ED,,,,12,07/01/2023,07/31/2023,93730,Count
0,ED,,,,13,08/01/2023,08/31/2023,92732,Count
0,ED,,,,14,09/01/2023,09/30/2023,90731,Count
0,ED,,,,15,10/01/2023,10/31/2023,93454,Count
0,ED,,,,16,11/01/2023,11/30/2023,89750,Count
0,ED,,,,17,12/01/2023,12/31/2023,93543,Count
0,ED,,,,18,01/01/2024,01/31/2024,90485,Count
0,ED,,,,19,02/01/2024,02/29/2024,87254,Count
0,ED,,,,20,03/01/2024,03/31/2024,89708,Count
0,ED,,,,21,04/01/2024,04/30/2024,88718,Count
0,ED,,,,22,05/01/2024,05/31/2024,91043,Count
0,ED,,,,23,06/01/2024,06/30/2024,85897,Count
0,ED,,,,24,07/01/2024,07/31/2024,87052,Count
1,ED,All Drugs,Age,0-15 Years,1,08/01/2022,08/31/2022,6.358303553,Percent
1,ED,All Opioids,Age,0-15 Years,1,08/01/2022,08/31/2022,0,Percent
1,ED,Stimulants,Age,0-15 Years,1,08/01/2022,08/31/2022,0.026970535,Percent
1,ED,Cannabis,Age,0-15 Years,1,08/01/2022,08/31/2022,0.101139505,Percent
1,ED,Benzodiazepine,Age,0-15 Years,1,08/01/2022,08/31/2022,0.013485267,Percent
1,ED,All Drugs,Age,0-15 Years,2,09/01/2022,09/30/2022,6.855127569,Percent
1,ED,All Opioids,Age,0-15 Years,2,09/01/2022,09/30/2022,0.033063316,Percent
1,ED,Stimulants,Age,0-15 Years,2,09/01/2022,09/30/2022,0.027552764,Percent
1,ED,Cannabis,Age,0-15 Years,2,09/01/2022,09/30/2022,0.209401003,Percent
1,ED,Benzodiazepine,Age,0-15 Years,2,09/01/2022,09/30/2022,0.011021105,Percent
1,ED,All Drugs,Age,0-15 Years,3,10/01/2022,10/31/2022,6.215169548,Percent
1,ED,All Opioids,Age,0-15 Years,3,10/01/2022,10/31/2022,0.004722773,Percent
1,ED,Stimulants,Age,0-15 Years,3,10/01/2022,10/31/2022,0.033059412,Percent
1,ED,Cannabis,Age,0-15 Years,3,10/01/2022,10/31/2022,0.2644753,Percent
1,ED,Benzodiazepine,Age,0-15 Years,3,10/01/2022,10/31/2022,0.01416832,Percent
1,ED,All Drugs,Age,0-15 Years,4,11/01/2022,11/30/2022,5.727005533,Percent
1,ED,All Opioids,Age,0-15 Years,4,11/01/2022,11/30/2022,0.02593361,Percent
1,ED,Stimulants,Age,0-15 Years,4,11/01/2022,11/30/2022,0.030255878,Percent
1,ED,Cannabis,Age,0-15 Years,4,11/01/2022,11/30/2022,0.280947441,Percent
1,ED,Benzodiazepine,Age,0-15 Years,4,11/01/2022,11/30/2022,0,Percent
1,ED,All Drugs,Age,0-15 Years,5,12/01/2022,12/31/2022,5.87598019,Percent
1,ED,All Opioids,Age,0-15 Years,5,12/01/2022,12/31/2022,0.010317788,Percent
1,ED,Stimulants,Age,0-15 Years,5,12/01/2022,12/31/2022,0.015476682,Percent
1,ED,Cannabis,Age,0-15 Years,5,12/01/2022,12/31/2022,0.237309121,Percent
1,ED,Benzodiazepine,Age,0-15 Years,5,12/01/2022,12/31/2022,0.005158894,Percent
1,ED,All Drugs,Age,0-15 Years,6,01/01/2023,01/31/2023,6.848004374,Percent
1,ED,All Opioids,Age,0-15 Years,6,01/01/2023,01/31/2023,0.020503007,Percent
1,ED,Stimulants,Age,0-15 Years,6,01/01/2023,01/31/2023,0.034171679,Percent
1,ED,Cannabis,Age,0-15 Years,6,01/01/2023,01/31/2023,0.389557135,Percent
1,ED,Benzodiazepine,Age,0-15 Years,6,01/01/2023,01/31/2023,0.006834336,Percent
1,ED,All Drugs,Age,0-15 Years,7,02/01/2023,02/28/2023,6.265397164,Percent
1,ED,All Opioids,Age,0-15 Years,7,02/01/2023,02/28/2023,0.033291165,Percent
1,ED,Stimulants,Age,0-15 Years,7,02/01/2023,02/28/2023,0.013316466,Percent
1,ED,Cannabis,Age,0-15 Years,7,02/01/2023,02/28/2023,0.279645782,Percent
1,ED,Benzodiazepine,Age,0-15 Years,7,02/01/2023,02/28/2023,0.013316466,Percent
1,ED,All Drugs,Age,0-15 Years,8,03/01/2023,03/31/2023,6.845407872,Percent
1,ED,All Opioids,Age,0-15 Years,8,03/01/2023,03/31/2023,0.045636052,Percent
1,ED,Stimulants,Age,0-15 Years,8,03/01/2023,03/31/2023,0.039931546,Percent
1,ED,Cannabis,Age,0-15 Years,8,03/01/2023,03/31/2023,0.296634341,Percent
1,ED,Benzodiazepine,Age,0-15 Years,8,03/01/2023,03/31/2023,0.011409013,Percent
1,ED,All Drugs,Age,0-15 Years,9,04/01/2023,04/30/2023,5.965085436,Percent
1,ED,All Opioids,Age,0-15 Years,9,04/01/2023,04/30/2023,0.055517858,Percent
1,ED,Stimulants,Age,0-15 Years,9,04/01/2023,04/30/2023,0.018505953,Percent
1,ED,Cannabis,Age,0-15 Years,9,04/01/2023,04/30/2023,0.20356548,Percent
1,ED,Benzodiazepine,Age,0-15 Years,9,04/01/2023,04/30/2023,0.006168651,Percent
1,ED,All Drugs,Age,0-15 Years,10,05/01/2023,05/31/2023,5.744417604,Percent
1,ED,All Opioids,Age,0-15 Years,10,05/01/2023,05/31/2023,0.047133683,Percent
1,ED,Stimulants,Age,0-15 Years,10,05/01/2023,05/31/2023,0.017675131,Percent
1,ED,Cannabis,Age,0-15 Years,10,05/01/2023,05/31/2023,0.294585518,Percent
1,ED,Benzodiazepine,Age,0-15 Years,10,05/01/2023,05/31/2023,0.00589171,Percent
1,ED,All Drugs,Age,0-15 Years,11,06/01/2023,06/30/2023,5.688622754,Percent
1,ED,All Opioids,Age,0-15 Years,11,06/01/2023,06/30/2023,0.036512341,Percent
1,ED,Stimulants,Age,0-15 Years,11,06/01/2023,06/30/2023,0.014604936,Percent
1,ED,Cannabis,Age,0-15 Years,11,06/01/2023,06/30/2023,0.335913539,Percent
1,ED,Benzodiazepine,Age,0-15 Years,11,06/01/2023,06/30/2023,0.021907405,Percent
1,ED,All Drugs,Age,0-15 Years,12,07/01/2023,07/31/2023,5.668424318,Percent
1,ED,All Opioids,Age,0-15 Years,12,07/01/2023,07/31/2023,0.038771712,Percent
1,ED,Stimulants,Age,0-15 Years,12,07/01/2023,07/31/2023,0.077543424,Percent
1,ED,Cannabis,Age,0-15 Years,12,07/01/2023,07/31/2023,0.217121588,Percent
1,ED,Benzodiazepine,Age,0-15 Years,12,07/01/2023,07/31/2023,0.015508685,Percent
1,ED,All Drugs,Age,0-15 Years,13,08/01/2023,08/31/2023,5.908324637,Percent
1,ED,All Opioids,Age,0-15 Years,13,08/01/2023,08/31/2023,0.04816569,Percent
1,ED,Stimulants,Age,0-15 Years,13,08/01/2023,08/31/2023,0.03211046,Percent
1,ED,Cannabis,Age,0-15 Years,13,08/01/2023,08/31/2023,0.28899414,Percent
1,ED,Benzodiazepine,Age,0-15 Years,13,08/01/2023,08/31/2023,0,Percent
1,ED,All Drugs,Age,0-15 Years,14,09/01/2023,09/30/2023,6.97167756,Percent
1,ED,All Opioids,Age,0-15 Years,14,09/01/2023,09/30/2023,0.042167405,Percent
1,ED,Stimulants,Age,0-15 Years,14,09/01/2023,09/30/2023,0.014055802,Percent
1,ED,Cannabis,Age,0-15 Years,14,09/01/2023,09/30/2023,0.224892825,Percent
1,ED,Benzodiazepine,Age,0-15 Years,14,09/01/2023,09/30/2023,0.014055802,Percent
1,ED,All Drugs,Age,0-15 Years,15,10/01/2023,10/31/2023,6.539355487,Percent
1,ED,All Opioids,Age,0-15 Years,15,10/01/2023,10/31/2023,0.062818016,Percent
1,ED,Stimulants,Age,0-15 Years,15,10/01/2023,10/31/2023,0.031409008,Percent
1,ED,Cannabis,Age,0-15 Years,15,10/01/2023,10/31/2023,0.201017652,Percent
1,ED,Benzodiazepine,Age,0-15 Years,15,10/01/2023,10/31/2023,0.025127206,Percent
1,ED,All Drugs,Age,0-15 Years,16,11/01/2023,11/30/2023,6.398526616,Percent
1,ED,All Opioids,Age,0-15 Years,16,11/01/2023,11/30/2023,0.017823194,Percent
1,ED,Stimulants,Age,0-15 Years,16,11/01/2023,11/30/2023,0.017823194,Percent
1,ED,Cannabis,Age,0-15 Years,16,11/01/2023,11/30/2023,0.291112167,Percent
1,ED,Benzodiazepine,Age,0-15 Years,16,11/01/2023,11/30/2023,0.011882129,Percent
1,ED,All Drugs,Age,0-15 Years,17,12/01/2023,12/31/2023,6.951362848,Percent
1,ED,All Opioids,Age,0-15 Years,17,12/01/2023,12/31/2023,0.011193821,Percent
1,ED,Stimulants,Age,0-15 Years,17,12/01/2023,12/31/2023,0.027984553,Percent
1,ED,Cannabis,Age,0-15 Years,17,12/01/2023,12/31/2023,0.229473331,Percent
1,ED,Benzodiazepine,Age,0-15 Years,17,12/01/2023,12/31/2023,0,Percent
1,ED,All Drugs,Age,0-15 Years,18,01/01/2024,01/31/2024,7.027495996,Percent
1,ED,All Opioids,Age,0-15 Years,18,01/01/2024,01/31/2024,0.040042712,Percent
1,ED,Stimulants,Age,0-15 Years,18,01/01/2024,01/31/2024,0.020021356,Percent
1,ED,Cannabis,Age,0-15 Years,18,01/01/2024,01/31/2024,0.286972771,Percent
1,ED,Benzodiazepine,Age,0-15 Years,18,01/01/2024,01/31/2024,0.013347571,Percent
1,ED,All Drugs,Age,0-15 Years,19,02/01/2024,02/29/2024,7.011140991,Percent
1,ED,All Opioids,Age,0-15 Years,19,02/01/2024,02/29/2024,0.012805737,Percent
1,ED,Stimulants,Age,0-15 Years,19,02/01/2024,02/29/2024,0.006402868,Percent
1,ED,Cannabis,Age,0-15 Years,19,02/01/2024,02/29/2024,0.204891792,Percent
1,ED,Benzodiazepine,Age,0-15 Years,19,02/01/2024,02/29/2024,0.006402868,Percent
1,ED,All Drugs,Age,0-15 Years,20,03/01/2024,03/31/2024,6.733075078,Percent
1,ED,All Opioids,Age,0-15 Years,20,03/01/2024,03/31/2024,0.024595708,Percent
1,ED,Stimulants,Age,0-15 Years,20,03/01/2024,03/31/2024,0.036893562,Percent
1,ED,Cannabis,Age,0-15 Years,20,03/01/2024,03/31/2024,0.319744205,Percent
1,ED,Benzodiazepine,Age,0-15 Years,20,03/01/2024,03/31/2024,0.006148927,Percent
1,ED,All Drugs,Age,0-15 Years,21,04/01/2024,04/30/2024,7.080175509,Percent
1,ED,All Opioids,Age,0-15 Years,21,04/01/2024,04/30/2024,0.006648052,Percent
1,ED,Stimulants,Age,0-15 Years,21,04/01/2024,04/30/2024,0.046536365,Percent
1,ED,Cannabis,Age,0-15 Years,21,04/01/2024,04/30/2024,0.199441564,Percent
1,ED,Benzodiazepine,Age,0-15 Years,21,04/01/2024,04/30/2024,0.019944156,Percent
1,ED,All Drugs,Age,0-15 Years,22,05/01/2024,05/31/2024,7.218824781,Percent
1,ED,All Opioids,Age,0-15 Years,22,05/01/2024,05/31/2024,0.013294337,Percent
1,ED,Stimulants,Age,0-15 Years,22,05/01/2024,05/31/2024,0.013294337,Percent
1,ED,Cannabis,Age,0-15 Years,22,05/01/2024,05/31/2024,0.339005584,Percent
1,ED,Benzodiazepine,Age,0-15 Years,22,05/01/2024,05/31/2024,0.013294337,Percent
1,ED,All Drugs,Age,0-15 Years,23,06/01/2024,06/30/2024,7.317859446,Percent
1,ED,All Opioids,Age,0-15 Years,23,06/01/2024,06/30/2024,0.032237266,Percent
1,ED,Stimulants,Age,0-15 Years,23,06/01/2024,06/30/2024,0.032237266,Percent
1,ED,Cannabis,Age,0-15 Years,23,06/01/2024,06/30/2024,0.274016763,Percent
1,ED,Benzodiazepine,Age,0-15 Years,23,06/01/2024,06/30/2024,0.016118633,Percent
1,ED,All Drugs,Age,0-15 Years,24,07/01/2024,07/31/2024,7.028060116,Percent
1,ED,All Opioids,Age,0-15 Years,24,07/01/2024,07/31/2024,0.03474937,Percent
1,ED,Stimulants,Age,0-15 Years,24,07/01/2024,07/31/2024,0.03474937,Percent
1,ED,Cannabis,Age,0-15 Years,24,07/01/2024,07/31/2024,0.147684823,Percent
1,ED,Benzodiazepine,Age,0-15 Years,24,07/01/2024,07/31/2024,0.03474937,Percent
1,ED,All Drugs,Age,16-34 Years,1,08/01/2022,08/31/2022,28.99410386,Percent
1,ED,All Opioids,Age,16-34 Years,1,08/01/2022,08/31/2022,1.662285998,Percent
1,ED,Stimulants,Age,16-34 Years,1,08/01/2022,08/31/2022,1.129502025,Percent
1,ED,Cannabis,Age,16-34 Years,1,08/01/2022,08/31/2022,2.543155502,Percent
1,ED,Benzodiazepine,Age,16-34 Years,1,08/01/2022,08/31/2022,0.255736307,Percent
1,ED,All Drugs,Age,16-34 Years,2,09/01/2022,09/30/2022,29.30415139,Percent
1,ED,All Opioids,Age,16-34 Years,2,09/01/2022,09/30/2022,1.510943229,Percent
1,ED,Stimulants,Age,16-34 Years,2,09/01/2022,09/30/2022,1.010998778,Percent
1,ED,Cannabis,Age,16-34 Years,2,09/01/2022,09/30/2022,2.529348591,Percent
1,ED,Benzodiazepine,Age,16-34 Years,2,09/01/2022,09/30/2022,0.229604118,Percent
1,ED,All Drugs,Age,16-34 Years,3,10/01/2022,10/31/2022,27.6023476,Percent
1,ED,All Opioids,Age,16-34 Years,3,10/01/2022,10/31/2022,1.335829763,Percent
1,ED,Stimulants,Age,16-34 Years,3,10/01/2022,10/31/2022,0.921758542,Percent
1,ED,Cannabis,Age,16-34 Years,3,10/01/2022,10/31/2022,2.408814316,Percent
1,ED,Benzodiazepine,Age,16-34 Years,3,10/01/2022,10/31/2022,0.201634681,Percent
1,ED,All Drugs,Age,16-34 Years,4,11/01/2022,11/30/2022,28.12111461,Percent
1,ED,All Opioids,Age,16-34 Years,4,11/01/2022,11/30/2022,1.488334674,Percent
1,ED,Stimulants,Age,16-34 Years,4,11/01/2022,11/30/2022,1.005631537,Percent
1,ED,Cannabis,Age,16-34 Years,4,11/01/2022,11/30/2022,2.208732539,Percent
1,ED,Benzodiazepine,Age,16-34 Years,4,11/01/2022,11/30/2022,0.215753675,Percent
1,ED,All Drugs,Age,16-34 Years,5,12/01/2022,12/31/2022,29.18892298,Percent
1,ED,All Opioids,Age,16-34 Years,5,12/01/2022,12/31/2022,1.428192598,Percent
1,ED,Stimulants,Age,16-34 Years,5,12/01/2022,12/31/2022,1.117551237,Percent
1,ED,Cannabis,Age,16-34 Years,5,12/01/2022,12/31/2022,2.091146721,Percent
1,ED,Benzodiazepine,Age,16-34 Years,5,12/01/2022,12/31/2022,0.253816722,Percent
1,ED,All Drugs,Age,16-34 Years,6,01/01/2023,01/31/2023,26.71195075,Percent
1,ED,All Opioids,Age,16-34 Years,6,01/01/2023,01/31/2023,1.303332626,Percent
1,ED,Stimulants,Age,16-34 Years,6,01/01/2023,01/31/2023,0.955211208,Percent
1,ED,Cannabis,Age,16-34 Years,6,01/01/2023,01/31/2023,2.34769688,Percent
1,ED,Benzodiazepine,Age,16-34 Years,6,01/01/2023,01/31/2023,0.237741456,Percent
1,ED,All Drugs,Age,16-34 Years,7,02/01/2023,02/28/2023,26.48040219,Percent
1,ED,All Opioids,Age,16-34 Years,7,02/01/2023,02/28/2023,1.503759398,Percent
1,ED,Stimulants,Age,16-34 Years,7,02/01/2023,02/28/2023,1.032166214,Percent
1,ED,Cannabis,Age,16-34 Years,7,02/01/2023,02/28/2023,2.242292121,Percent
1,ED,Benzodiazepine,Age,16-34 Years,7,02/01/2023,02/28/2023,0.244694577,Percent
1,ED,All Drugs,Age,16-34 Years,8,03/01/2023,03/31/2023,26.71155552,Percent
1,ED,All Opioids,Age,16-34 Years,8,03/01/2023,03/31/2023,1.495847109,Percent
1,ED,Stimulants,Age,16-34 Years,8,03/01/2023,03/31/2023,0.987823563,Percent
1,ED,Cannabis,Age,16-34 Years,8,03/01/2023,03/31/2023,2.064349649,Percent
1,ED,Benzodiazepine,Age,16-34 Years,8,03/01/2023,03/31/2023,0.274171438,Percent
1,ED,All Drugs,Age,16-34 Years,9,04/01/2023,04/30/2023,26.8978209,Percent
1,ED,All Opioids,Age,16-34 Years,9,04/01/2023,04/30/2023,1.572629554,Percent
1,ED,Stimulants,Age,16-34 Years,9,04/01/2023,04/30/2023,1.100004183,Percent
1,ED,Cannabis,Age,16-34 Years,9,04/01/2023,04/30/2023,2.082897654,Percent
1,ED,Benzodiazepine,Age,16-34 Years,9,04/01/2023,04/30/2023,0.242586474,Percent
1,ED,All Drugs,Age,16-34 Years,10,05/01/2023,05/31/2023,26.30584262,Percent
1,ED,All Opioids,Age,16-34 Years,10,05/01/2023,05/31/2023,1.451606418,Percent
1,ED,Stimulants,Age,16-34 Years,10,05/01/2023,05/31/2023,1.033415095,Percent
1,ED,Cannabis,Age,16-34 Years,10,05/01/2023,05/31/2023,2.103019824,Percent
1,ED,Benzodiazepine,Age,16-34 Years,10,05/01/2023,05/31/2023,0.241264225,Percent
1,ED,All Drugs,Age,16-34 Years,11,06/01/2023,06/30/2023,26.65623149,Percent
1,ED,All Opioids,Age,16-34 Years,11,06/01/2023,06/30/2023,1.370674338,Percent
1,ED,Stimulants,Age,16-34 Years,11,06/01/2023,06/30/2023,1.163380997,Percent
1,ED,Cannabis,Age,16-34 Years,11,06/01/2023,06/30/2023,2.153312463,Percent
1,ED,Benzodiazepine,Age,16-34 Years,11,06/01/2023,06/30/2023,0.143836196,Percent
1,ED,All Drugs,Age,16-34 Years,12,07/01/2023,07/31/2023,25.97107102,Percent
1,ED,All Opioids,Age,16-34 Years,12,07/01/2023,07/31/2023,1.206728425,Percent
1,ED,Stimulants,Age,16-34 Years,12,07/01/2023,07/31/2023,1.097025841,Percent
1,ED,Cannabis,Age,16-34 Years,12,07/01/2023,07/31/2023,2.043718511,Percent
1,ED,Benzodiazepine,Age,16-34 Years,12,07/01/2023,07/31/2023,0.154396229,Percent
1,ED,All Drugs,Age,16-34 Years,13,08/01/2023,08/31/2023,25.27785694,Percent
1,ED,All Opioids,Age,16-34 Years,13,08/01/2023,08/31/2023,1.461547857,Percent
1,ED,Stimulants,Age,16-34 Years,13,08/01/2023,08/31/2023,1.103285429,Percent
1,ED,Cannabis,Age,16-34 Years,13,08/01/2023,08/31/2023,2.031510809,Percent
1,ED,Benzodiazepine,Age,16-34 Years,13,08/01/2023,08/31/2023,0.223914017,Percent
1,ED,All Drugs,Age,16-34 Years,14,09/01/2023,09/30/2023,25.64759226,Percent
1,ED,All Opioids,Age,16-34 Years,14,09/01/2023,09/30/2023,1.318275326,Percent
1,ED,Stimulants,Age,16-34 Years,14,09/01/2023,09/30/2023,1.091565557,Percent
1,ED,Cannabis,Age,16-34 Years,14,09/01/2023,09/30/2023,1.859859776,Percent
1,ED,Benzodiazepine,Age,16-34 Years,14,09/01/2023,09/30/2023,0.151139846,Percent
1,ED,All Drugs,Age,16-34 Years,15,10/01/2023,10/31/2023,26.94151486,Percent
1,ED,All Opioids,Age,16-34 Years,15,10/01/2023,10/31/2023,1.521530702,Percent
1,ED,Stimulants,Age,16-34 Years,15,10/01/2023,10/31/2023,1.06715578,Percent
1,ED,Cannabis,Age,16-34 Years,15,10/01/2023,10/31/2023,2.0717829,Percent
1,ED,Benzodiazepine,Age,16-34 Years,15,10/01/2023,10/31/2023,0.200091709,Percent
1,ED,All Drugs,Age,16-34 Years,16,11/01/2023,11/30/2023,26.98866133,Percent
1,ED,All Opioids,Age,16-34 Years,16,11/01/2023,11/30/2023,1.318449503,Percent
1,ED,Stimulants,Age,16-34 Years,16,11/01/2023,11/30/2023,0.944888811,Percent
1,ED,Cannabis,Age,16-34 Years,16,11/01/2023,11/30/2023,2.052386394,Percent
1,ED,Benzodiazepine,Age,16-34 Years,16,11/01/2023,11/30/2023,0.197767426,Percent
1,ED,All Drugs,Age,16-34 Years,17,12/01/2023,12/31/2023,25.93358258,Percent
1,ED,All Opioids,Age,16-34 Years,17,12/01/2023,12/31/2023,1.112821641,Percent
1,ED,Stimulants,Age,16-34 Years,17,12/01/2023,12/31/2023,0.892896415,Percent
1,ED,Cannabis,Age,16-34 Years,17,12/01/2023,12/31/2023,1.966131515,Percent
1,ED,Benzodiazepine,Age,16-34 Years,17,12/01/2023,12/31/2023,0.127556631,Percent
1,ED,All Drugs,Age,16-34 Years,18,01/01/2024,01/31/2024,25.45595989,Percent
1,ED,All Opioids,Age,16-34 Years,18,01/01/2024,01/31/2024,0.994035785,Percent
1,ED,Stimulants,Age,16-34 Years,18,01/01/2024,01/31/2024,0.76065347,Percent
1,ED,Cannabis,Age,16-34 Years,18,01/01/2024,01/31/2024,1.84112715,Percent
1,ED,Benzodiazepine,Age,16-34 Years,18,01/01/2024,01/31/2024,0.121013052,Percent
1,ED,All Drugs,Age,16-34 Years,19,02/01/2024,02/29/2024,25.74078263,Percent
1,ED,All Opioids,Age,16-34 Years,19,02/01/2024,02/29/2024,0.931915856,Percent
1,ED,Stimulants,Age,16-34 Years,19,02/01/2024,02/29/2024,0.714770414,Percent
1,ED,Cannabis,Age,16-34 Years,19,02/01/2024,02/29/2024,1.818593078,Percent
1,ED,Benzodiazepine,Age,16-34 Years,19,02/01/2024,02/29/2024,0.131192038,Percent
1,ED,All Drugs,Age,16-34 Years,20,03/01/2024,03/31/2024,25.77884744,Percent
1,ED,All Opioids,Age,16-34 Years,20,03/01/2024,03/31/2024,1.078575567,Percent
1,ED,Stimulants,Age,16-34 Years,20,03/01/2024,03/31/2024,0.873557071,Percent
1,ED,Cannabis,Age,16-34 Years,20,03/01/2024,03/31/2024,1.969960333,Percent
1,ED,Benzodiazepine,Age,16-34 Years,20,03/01/2024,03/31/2024,0.147078486,Percent
1,ED,All Drugs,Age,16-34 Years,21,04/01/2024,04/30/2024,25.40342408,Percent
1,ED,All Opioids,Age,16-34 Years,21,04/01/2024,04/30/2024,1.001296321,Percent
1,ED,Stimulants,Age,16-34 Years,21,04/01/2024,04/30/2024,0.871664208,Percent
1,ED,Cannabis,Age,16-34 Years,21,04/01/2024,04/30/2024,1.707567833,Percent
1,ED,Benzodiazepine,Age,16-34 Years,21,04/01/2024,04/30/2024,0.089401457,Percent
1,ED,All Drugs,Age,16-34 Years,22,05/01/2024,05/31/2024,25.27726836,Percent
1,ED,All Opioids,Age,16-34 Years,22,05/01/2024,05/31/2024,0.864553314,Percent
1,ED,Stimulants,Age,16-34 Years,22,05/01/2024,05/31/2024,0.724827526,Percent
1,ED,Cannabis,Age,16-34 Years,22,05/01/2024,05/31/2024,1.912496725,Percent
1,ED,Benzodiazepine,Age,16-34 Years,22,05/01/2024,05/31/2024,0.082962187,Percent
1,ED,All Drugs,Age,16-34 Years,23,06/01/2024,06/30/2024,26.00853642,Percent
1,ED,All Opioids,Age,16-34 Years,23,06/01/2024,06/30/2024,0.963789068,Percent
1,ED,Stimulants,Age,16-34 Years,23,06/01/2024,06/30/2024,0.835283859,Percent
1,ED,Cannabis,Age,16-34 Years,23,06/01/2024,06/30/2024,1.88627289,Percent
1,ED,Benzodiazepine,Age,16-34 Years,23,06/01/2024,06/30/2024,0.128505209,Percent
1,ED,All Drugs,Age,16-34 Years,24,07/01/2024,07/31/2024,25.56596584,Percent
1,ED,All Opioids,Age,16-34 Years,24,07/01/2024,07/31/2024,0.91451114,Percent
1,ED,Stimulants,Age,16-34 Years,24,07/01/2024,07/31/2024,0.744161026,Percent
1,ED,Cannabis,Age,16-34 Years,24,07/01/2024,07/31/2024,1.721432734,Percent
1,ED,Benzodiazepine,Age,16-34 Years,24,07/01/2024,07/31/2024,0.130004035,Percent
1,ED,All Drugs,Age,35-54 Years,1,08/01/2022,08/31/2022,38.2588609,Percent
1,ED,All Opioids,Age,35-54 Years,1,08/01/2022,08/31/2022,2.429076734,Percent
1,ED,Stimulants,Age,35-54 Years,1,08/01/2022,08/31/2022,1.696383455,Percent
1,ED,Cannabis,Age,35-54 Years,1,08/01/2022,08/31/2022,1.259654948,Percent
1,ED,Benzodiazepine,Age,35-54 Years,1,08/01/2022,08/31/2022,0.342886017,Percent
1,ED,All Drugs,Age,35-54 Years,2,09/01/2022,09/30/2022,39.96592053,Percent
1,ED,All Opioids,Age,35-54 Years,2,09/01/2022,09/30/2022,2.323600031,Percent
1,ED,Stimulants,Age,35-54 Years,2,09/01/2022,09/30/2022,1.541321354,Percent
1,ED,Cannabis,Age,35-54 Years,2,09/01/2022,09/30/2022,1.398032685,Percent
1,ED,Benzodiazepine,Age,35-54 Years,2,09/01/2022,09/30/2022,0.278832004,Percent
1,ED,All Drugs,Age,35-54 Years,3,10/01/2022,10/31/2022,38.68141119,Percent
1,ED,All Opioids,Age,35-54 Years,3,10/01/2022,10/31/2022,2.582842274,Percent
1,ED,Stimulants,Age,35-54 Years,3,10/01/2022,10/31/2022,1.526746767,Percent
1,ED,Cannabis,Age,35-54 Years,3,10/01/2022,10/31/2022,1.369863014,Percent
1,ED,Benzodiazepine,Age,35-54 Years,3,10/01/2022,10/31/2022,0.283156042,Percent
1,ED,All Drugs,Age,35-54 Years,4,11/01/2022,11/30/2022,38.55393219,Percent
1,ED,All Opioids,Age,35-54 Years,4,11/01/2022,11/30/2022,2.555822471,Percent
1,ED,Stimulants,Age,35-54 Years,4,11/01/2022,11/30/2022,1.689441972,Percent
1,ED,Cannabis,Age,35-54 Years,4,11/01/2022,11/30/2022,1.283818375,Percent
1,ED,Benzodiazepine,Age,35-54 Years,4,11/01/2022,11/30/2022,0.244161777,Percent
1,ED,All Drugs,Age,35-54 Years,5,12/01/2022,12/31/2022,38.87418527,Percent
